               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 123,            0.020527,            0.011059,          0.00053594,              0.9329,             0.93333,             0.93552,             0.75471,           0.0099885,           0.0037931,          0.00023274,           0.0071561,           0.0071561,           0.0071561
                 124,            0.020511,            0.011112,          0.00057786,                   1,             0.86656,             0.91815,             0.72917,           0.0094549,           0.0035412,          0.00021675,            0.007116,            0.007116,            0.007116
                 125,            0.020618,            0.011118,          0.00067933,             0.92848,             0.86552,             0.90922,             0.71018,            0.010181,           0.0037513,          0.00023012,           0.0070757,           0.0070757,           0.0070757
                 126,            0.020465,            0.011236,          0.00060493,             0.93321,             0.93157,             0.93629,             0.73566,             0.01011,           0.0034068,          0.00023171,           0.0070353,           0.0070353,           0.0070353
                 127,            0.020001,            0.010615,          0.00061694,                   1,             0.86661,             0.94167,             0.77671,           0.0083395,           0.0034169,           0.0002445,           0.0069948,           0.0069948,           0.0069948
                 128,             0.02057,            0.010965,          0.00062075,             0.99997,             0.86667,             0.95313,               0.743,            0.010853,           0.0039338,          0.00026427,           0.0069541,           0.0069541,           0.0069541
                 129,            0.020172,            0.011017,          0.00054324,             0.99986,                 0.8,             0.88989,             0.75759,           0.0087534,           0.0034049,          0.00022145,           0.0069134,           0.0069134,           0.0069134
                 130,            0.020068,            0.010786,          0.00054823,                   1,             0.79998,             0.92914,             0.74837,           0.0085655,           0.0036424,          0.00023094,           0.0068726,           0.0068726,           0.0068726
                 131,            0.019914,            0.011154,          0.00055717,             0.92757,             0.86667,             0.91306,             0.80747,           0.0080578,           0.0035507,          0.00022543,           0.0068316,           0.0068316,           0.0068316
                 132,            0.020156,            0.010808,           0.0006253,             0.92854,             0.86624,             0.94151,              0.7951,           0.0090208,            0.003968,          0.00022792,           0.0067906,           0.0067906,           0.0067906
                 133,            0.019885,             0.01089,          0.00055514,             0.92853,             0.86617,             0.91529,             0.77869,           0.0080752,           0.0035101,          0.00020813,           0.0067495,           0.0067495,           0.0067495
                 134,            0.019813,             0.01049,          0.00059581,             0.82764,                   1,             0.96288,             0.81875,           0.0080946,           0.0034083,          0.00022868,           0.0067083,           0.0067083,           0.0067083
                 135,            0.019661,            0.011046,          0.00055484,             0.87496,             0.93299,             0.92418,             0.78405,            0.008941,           0.0030761,          0.00020673,           0.0066671,           0.0066671,           0.0066671
                 136,            0.019581,            0.010523,          0.00050572,             0.92854,             0.86667,             0.92093,             0.76891,           0.0089655,           0.0032693,           0.0002199,           0.0066257,           0.0066257,           0.0066257
                 137,             0.01986,            0.010655,          0.00058909,             0.92856,             0.86655,               0.916,             0.75863,           0.0087089,           0.0033121,          0.00021189,           0.0065843,           0.0065843,           0.0065843
                 138,            0.019733,            0.010458,          0.00054099,                   1,             0.86664,             0.95437,             0.70619,           0.0093105,           0.0038051,          0.00024435,           0.0065429,           0.0065429,           0.0065429
                 139,            0.019564,            0.010799,          0.00053607,             0.87491,             0.93333,             0.95028,             0.73136,            0.010335,           0.0036703,            0.000199,           0.0065013,           0.0065013,           0.0065013
                 140,            0.019426,            0.010535,           0.0005183,             0.92835,             0.86667,             0.93516,             0.74887,           0.0089505,           0.0034901,          0.00020136,           0.0064597,           0.0064597,           0.0064597
                 141,            0.019265,            0.010536,          0.00051611,             0.99985,                 0.8,             0.89278,             0.71953,            0.010758,           0.0037062,          0.00020647,           0.0064181,           0.0064181,           0.0064181
                 142,            0.019619,            0.010654,          0.00056328,                   1,             0.79995,             0.93928,             0.76427,           0.0091885,           0.0034652,          0.00021606,           0.0063764,           0.0063764,           0.0063764
                 143,            0.019361,            0.010549,          0.00052464,             0.87436,             0.93333,             0.96216,             0.77389,           0.0096117,           0.0032605,          0.00018896,           0.0063347,           0.0063347,           0.0063347
                 144,            0.019261,            0.010584,          0.00047965,             0.93261,             0.93333,             0.98033,             0.76228,           0.0094126,           0.0039534,          0.00020277,            0.006293,            0.006293,            0.006293
                 145,            0.019649,            0.010833,          0.00051609,                   1,             0.86656,             0.96763,             0.72796,           0.0097213,           0.0038895,          0.00022455,           0.0062512,           0.0062512,           0.0062512
                 146,            0.018888,             0.01028,          0.00049546,             0.87499,             0.93327,             0.92927,             0.81143,           0.0089749,           0.0034077,          0.00020858,           0.0062093,           0.0062093,           0.0062093
                 147,            0.019095,            0.010733,          0.00055317,                   1,             0.86651,             0.95728,             0.75226,           0.0090093,           0.0035729,          0.00021586,           0.0061675,           0.0061675,           0.0061675
                 148,             0.01908,            0.010497,          0.00049815,                   1,             0.86659,             0.92584,              0.7637,           0.0082413,           0.0034438,          0.00020171,           0.0061256,           0.0061256,           0.0061256
                 149,            0.018873,            0.010723,          0.00045053,                   1,              0.8666,             0.93176,             0.73465,           0.0085681,           0.0037347,          0.00020595,           0.0060838,           0.0060838,           0.0060838
                 150,            0.019129,            0.010553,          0.00049216,             0.93323,             0.93192,             0.93621,             0.73799,            0.009306,           0.0036199,          0.00020893,           0.0060419,           0.0060419,           0.0060419
                 151,            0.018458,            0.010435,          0.00046629,             0.93082,             0.93333,             0.93278,             0.80972,           0.0074015,           0.0028682,          0.00018032,               0.006,               0.006,               0.006
                 152,            0.019196,            0.010425,          0.00055944,                   1,             0.93295,             0.94189,             0.77298,           0.0080701,           0.0033039,          0.00020098,           0.0059581,           0.0059581,           0.0059581
                 153,            0.018894,            0.010295,          0.00050597,                   1,             0.86666,              0.9076,             0.75915,            0.008574,           0.0037128,          0.00022132,           0.0059162,           0.0059162,           0.0059162
                 154,            0.018868,             0.01065,          0.00049797,             0.93141,             0.93333,             0.94833,              0.8055,           0.0078737,           0.0032084,          0.00019563,           0.0058744,           0.0058744,           0.0058744
