               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,            0.023617,            0.016107,          0.00092226,             0.81186,             0.86667,             0.83228,             0.63239,            0.018369,           0.0058065,          0.00040535,           0.0085497,           0.0085497,           0.0085497
                  86,            0.023483,            0.015905,          0.00083723,             0.99981,                 0.8,             0.86143,             0.65694,            0.015429,           0.0055686,          0.00038646,           0.0085173,           0.0085173,           0.0085173
                  87,            0.023436,            0.015768,          0.00083677,             0.92857,             0.86666,             0.90401,             0.71587,            0.014814,           0.0062524,          0.00044344,           0.0084846,           0.0084846,           0.0084846
                  88,            0.023049,            0.015485,          0.00094597,             0.99973,             0.86667,             0.87434,             0.65169,            0.016055,           0.0054322,          0.00039313,           0.0084516,           0.0084516,           0.0084516
                  89,             0.02313,            0.015736,          0.00086006,             0.99998,             0.73333,             0.79622,             0.68324,            0.015857,           0.0066181,          0.00042378,           0.0084184,           0.0084184,           0.0084184
                  90,            0.023077,            0.015594,          0.00094683,             0.99992,                 0.8,             0.86306,             0.69753,            0.015552,           0.0056974,          0.00040606,           0.0083849,           0.0083849,           0.0083849
                  91,            0.023739,            0.015358,          0.00097733,             0.92837,             0.86667,             0.86408,             0.68397,            0.015554,           0.0049189,          0.00039439,           0.0083511,           0.0083511,           0.0083511
                  92,            0.022554,            0.015542,          0.00079198,              0.9997,             0.66667,             0.82604,             0.63726,            0.017741,           0.0059682,          0.00039434,           0.0083171,           0.0083171,           0.0083171
                  93,            0.022852,            0.015756,           0.0008986,             0.91666,             0.73328,             0.81481,             0.66951,            0.015223,           0.0058277,          0.00039754,           0.0082829,           0.0082829,           0.0082829
                  94,            0.022907,            0.015294,           0.0008235,             0.85495,                 0.8,             0.83053,             0.65698,            0.016473,            0.005541,          0.00042308,           0.0082483,           0.0082483,           0.0082483
                  95,            0.023066,            0.015553,          0.00086046,             0.99991,             0.86667,             0.87246,             0.63781,            0.015141,           0.0052347,          0.00041724,           0.0082136,           0.0082136,           0.0082136
                  96,            0.022625,            0.015325,          0.00088648,             0.99976,             0.66667,              0.7928,             0.61823,             0.01782,           0.0057743,          0.00039902,           0.0081786,           0.0081786,           0.0081786
